epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.789,0.96383,1.09949,1.01572,0.68096,0.65071,0.69882,0.50953,0.92582,1.15185,1.03062,0.000369208,0.000369208,0.000369208
2,223.033,1.00299,0.93581,1.04285,0.76928,0.69377,0.7745,0.58147,0.89222,0.82037,1.00548,0.000730389,0.000730389,0.000730389
3,326.166,0.98968,0.90667,1.03749,0.75453,0.66055,0.72727,0.54493,0.89184,0.84839,1.00341,0.0010824,0.0010824,0.0010824
4,430.354,0.98071,0.87804,1.03126,0.78167,0.68149,0.77243,0.58583,0.87505,0.82813,0.99409,0.00106975,0.00106975,0.00106975
5,535.336,0.94757,0.83501,1.01861,0.78138,0.71217,0.78504,0.59733,0.86374,0.78299,0.99319,0.00105601,0.00105601,0.00105601
6,639.916,0.91658,0.80903,1.00633,0.80782,0.72076,0.80327,0.61641,0.8282,0.74461,0.97325,0.00104226,0.00104226,0.00104226
7,744.713,0.89334,0.78224,0.99636,0.80862,0.74414,0.82116,0.64329,0.79492,0.69233,0.96016,0.00102851,0.00102851,0.00102851
8,849.772,0.87995,0.75804,0.99113,0.82141,0.74723,0.82801,0.64609,0.80485,0.69043,0.96268,0.00101476,0.00101476,0.00101476
9,954.674,0.85734,0.72838,0.97898,0.82463,0.73632,0.82295,0.65084,0.78516,0.68236,0.95457,0.00100101,0.00100101,0.00100101
10,1059.71,0.8496,0.71751,0.97466,0.83116,0.73656,0.82511,0.64982,0.78639,0.6797,0.95908,0.000987262,0.000987262,0.000987262
11,1164.79,0.84555,0.71263,0.97408,0.82528,0.7488,0.82656,0.65634,0.76323,0.65974,0.94638,0.000973514,0.000973514,0.000973514
12,1270.38,0.83245,0.69857,0.97011,0.8213,0.75386,0.82795,0.65576,0.78845,0.6677,0.95795,0.000959765,0.000959765,0.000959765
13,1375.56,0.82351,0.68603,0.96456,0.83646,0.76216,0.84111,0.67436,0.7606,0.64536,0.94609,0.000946016,0.000946016,0.000946016
14,1480.46,0.80953,0.67441,0.96072,0.81631,0.77873,0.84185,0.67573,0.75221,0.64653,0.94375,0.000932268,0.000932268,0.000932268
15,1585.72,0.8061,0.67428,0.95938,0.8252,0.77778,0.84194,0.67587,0.74136,0.62939,0.934,0.000918519,0.000918519,0.000918519
16,1690.93,0.80023,0.65782,0.95611,0.82683,0.77572,0.84435,0.67384,0.75428,0.63838,0.9455,0.000904771,0.000904771,0.000904771
17,1795.91,0.79279,0.65223,0.95105,0.82686,0.7712,0.84409,0.68152,0.73648,0.62465,0.93396,0.000891022,0.000891022,0.000891022
18,1901.52,0.78526,0.65012,0.95291,0.83925,0.76793,0.85163,0.69138,0.72842,0.62572,0.93151,0.000877273,0.000877273,0.000877273
19,2007.97,0.77977,0.64068,0.94802,0.83177,0.78043,0.85565,0.68927,0.72915,0.61499,0.935,0.000863525,0.000863525,0.000863525
20,2149.2,0.77381,0.62469,0.94475,0.84348,0.78833,0.85776,0.69576,0.72113,0.60858,0.92952,0.000849776,0.000849776,0.000849776
21,2329.79,0.76993,0.62074,0.94093,0.84232,0.78751,0.85889,0.69736,0.72289,0.59421,0.93241,0.000836027,0.000836027,0.000836027
22,2509.33,0.76373,0.61646,0.94207,0.85988,0.76943,0.85922,0.69581,0.71712,0.60358,0.92985,0.000822279,0.000822279,0.000822279
23,2688.98,0.76666,0.61551,0.94036,0.84408,0.79551,0.86592,0.70641,0.70885,0.58467,0.92783,0.00080853,0.00080853,0.00080853
