epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.808,1.73633,1.73003,1.57508,0.46497,0.46446,0.39356,0.16486,1.90707,3.07724,1.8948,0.000415309,0.000415309,0.000415309
2,213.523,1.78698,1.58037,1.61721,0.52849,0.55179,0.54183,0.23605,1.78288,1.64478,1.70129,0.000825112,0.000825112,0.000825112
3,311.656,1.78355,1.56583,1.60185,0.58603,0.54564,0.55316,0.25942,1.67213,1.98851,1.57764,0.00122804,0.00122804,0.00122804
4,409.348,1.7443,1.50415,1.57402,0.53614,0.60031,0.58831,0.27611,1.64015,1.4816,1.57662,0.00121906,0.00121906,0.00121906
5,507.236,1.69841,1.4052,1.55662,0.61763,0.63745,0.65161,0.31585,1.6002,1.25609,1.53274,0.00120875,0.00120875,0.00120875
6,605.196,1.66081,1.32408,1.52177,0.63752,0.65554,0.6571,0.32264,1.55879,1.21354,1.51163,0.00119844,0.00119844,0.00119844
7,703.176,1.64205,1.30203,1.50924,0.67625,0.65724,0.68022,0.33277,1.54184,1.18407,1.4881,0.00118812,0.00118812,0.00118812
8,800.788,1.61596,1.26029,1.50167,0.65326,0.67509,0.68586,0.33861,1.53068,1.12916,1.50198,0.00117781,0.00117781,0.00117781
9,898.1,1.60185,1.20577,1.47877,0.69157,0.69221,0.7115,0.35434,1.52139,1.09655,1.47552,0.0011675,0.0011675,0.0011675
10,995.926,1.59499,1.2021,1.4803,0.71549,0.68384,0.72659,0.36299,1.5084,1.04979,1.45117,0.00115719,0.00115719,0.00115719
11,1094.31,1.57283,1.18154,1.45714,0.70796,0.73439,0.75429,0.37933,1.50853,1.05558,1.45118,0.00114688,0.00114688,0.00114688
12,1192.36,1.55195,1.13832,1.44423,0.69377,0.73227,0.75015,0.38283,1.49872,1.02958,1.44545,0.00113656,0.00113656,0.00113656
13,1290.21,1.54354,1.10949,1.43698,0.7098,0.72271,0.75128,0.38608,1.47335,0.94757,1.4527,0.00112625,0.00112625,0.00112625
14,1388.62,1.54019,1.10169,1.43641,0.72654,0.73578,0.77146,0.38925,1.49221,0.93181,1.45454,0.00111594,0.00111594,0.00111594
15,1486.65,1.5373,1.08919,1.44026,0.72616,0.74384,0.77144,0.39457,1.48387,0.92172,1.44769,0.00110563,0.00110563,0.00110563
16,1584.54,1.51565,1.04935,1.42102,0.73102,0.74902,0.78008,0.40224,1.46542,0.92368,1.43564,0.00109531,0.00109531,0.00109531
17,1683.25,1.50645,1.05864,1.41918,0.74811,0.73999,0.78135,0.40147,1.47618,0.8917,1.43979,0.001085,0.001085,0.001085
18,1781.57,1.49204,1.03399,1.41244,0.76013,0.74476,0.78937,0.40536,1.44535,0.89065,1.42664,0.00107469,0.00107469,0.00107469
19,1879.6,1.49273,1.0136,1.4078,0.75342,0.76379,0.79337,0.41264,1.45422,0.88316,1.44508,0.00106437,0.00106437,0.00106437
20,1977.94,1.49086,1.01289,1.40294,0.75404,0.78516,0.80376,0.42008,1.44033,0.85349,1.42192,0.00105406,0.00105406,0.00105406
21,2076.9,1.46889,0.99282,1.38634,0.73258,0.7766,0.79669,0.41115,1.45509,0.88194,1.43169,0.00104375,0.00104375,0.00104375
22,2177.52,1.46909,0.98117,1.39535,0.76471,0.77096,0.80753,0.41854,1.44353,0.84721,1.42376,0.00103344,0.00103344,0.00103344
23,2275.69,1.47322,0.98213,1.39022,0.74089,0.79414,0.80627,0.4156,1.44667,0.83931,1.42387,0.00102312,0.00102312,0.00102312
24,2373.69,1.45298,0.96944,1.38374,0.76023,0.78943,0.80968,0.42336,1.43202,0.84187,1.40657,0.00101281,0.00101281,0.00101281
25,2472.64,1.43252,0.93159,1.36683,0.78886,0.80551,0.82764,0.43887,1.42086,0.78197,1.39828,0.0010025,0.0010025,0.0010025
26,2570.48,1.43552,0.945,1.37032,0.78719,0.79572,0.82217,0.43721,1.43008,0.8108,1.40752,0.000992188,0.000992188,0.000992188
27,2668.74,1.42131,0.91639,1.36186,0.76631,0.79397,0.81674,0.42989,1.42645,0.80398,1.40464,0.000981875,0.000981875,0.000981875
28,2766.98,1.41637,0.90905,1.35371,0.78274,0.777,0.81005,0.43244,1.41815,0.80163,1.40419,0.000971562,0.000971562,0.000971562
29,2864.84,1.40399,0.89975,1.35169,0.76706,0.79111,0.80148,0.42714,1.42299,0.81534,1.40903,0.00096125,0.00096125,0.00096125
30,2962.63,1.39077,0.88967,1.34449,0.7697,0.80599,0.83582,0.44574,1.42024,0.76897,1.39211,0.000950937,0.000950937,0.000950937
31,3060.07,1.39752,0.87106,1.34273,0.76488,0.78844,0.81024,0.43562,1.4124,0.80133,1.40277,0.000940625,0.000940625,0.000940625
32,3158.32,1.38829,0.88077,1.34256,0.76477,0.8157,0.8241,0.44131,1.41751,0.79868,1.40447,0.000930313,0.000930313,0.000930313
33,3256.67,1.38335,0.86255,1.34096,0.77568,0.80305,0.83018,0.44325,1.41008,0.77009,1.40812,0.00092,0.00092,0.00092
34,3357.97,1.37412,0.85451,1.33666,0.76881,0.8209,0.83499,0.45165,1.39642,0.7452,1.38945,0.000909688,0.000909688,0.000909688
35,3459.86,1.36113,0.83111,1.32961,0.78368,0.80947,0.83222,0.44978,1.40211,0.75881,1.39475,0.000899375,0.000899375,0.000899375
36,3561.87,1.36651,0.83452,1.32648,0.76952,0.82336,0.8292,0.449,1.38709,0.76946,1.37779,0.000889062,0.000889062,0.000889062
37,3664.63,1.34277,0.82377,1.31343,0.79812,0.80914,0.84059,0.45186,1.39358,0.74669,1.39597,0.00087875,0.00087875,0.00087875
38,3766.2,1.34575,0.8163,1.3143,0.78694,0.82651,0.84631,0.45444,1.39856,0.74436,1.38881,0.000868437,0.000868437,0.000868437
39,3868.42,1.33184,0.80821,1.31325,0.81269,0.81811,0.85234,0.46195,1.39818,0.74027,1.37611,0.000858125,0.000858125,0.000858125
40,3970.63,1.33905,0.81813,1.31055,0.78955,0.83646,0.86173,0.46541,1.37712,0.71819,1.37489,0.000847813,0.000847813,0.000847813
41,4071.53,1.31667,0.78942,1.30098,0.80325,0.84336,0.85212,0.46798,1.37542,0.71912,1.38174,0.0008375,0.0008375,0.0008375
42,4173.83,1.32181,0.79499,1.30875,0.78824,0.83153,0.84159,0.46768,1.37467,0.73043,1.37875,0.000827187,0.000827187,0.000827187
43,4275.89,1.31341,0.78256,1.29548,0.80146,0.83885,0.85495,0.46971,1.36701,0.72586,1.35805,0.000816875,0.000816875,0.000816875
44,4484.13,1.30159,0.78027,1.29515,0.79846,0.82595,0.85005,0.46756,1.38296,0.72396,1.38316,0.000806562,0.000806562,0.000806562
45,4721.64,1.2813,0.76031,1.2744,0.80759,0.84832,0.86405,0.48358,1.35502,0.68663,1.36707,0.00079625,0.00079625,0.00079625
46,4832.65,1.26964,0.74797,1.27516,0.81242,0.8411,0.87145,0.48649,1.35738,0.69698,1.3643,0.000785938,0.000785938,0.000785938
47,4929.89,1.28163,0.74382,1.28172,0.82763,0.85175,0.87207,0.48877,1.35087,0.68626,1.35867,0.000775625,0.000775625,0.000775625
48,5029.33,1.26554,0.74524,1.26562,0.81436,0.8374,0.86431,0.48141,1.36253,0.70559,1.36356,0.000765313,0.000765313,0.000765313
49,5127.4,1.25859,0.74314,1.26536,0.81672,0.83853,0.85585,0.48556,1.343,0.69824,1.36093,0.000755,0.000755,0.000755
50,5225.19,1.23002,0.7185,1.2456,0.81789,0.8465,0.8667,0.48376,1.3554,0.68297,1.36314,0.000744688,0.000744688,0.000744688
51,5323.35,1.23217,0.71497,1.25766,0.83209,0.8431,0.86408,0.48462,1.35602,0.68806,1.36464,0.000734375,0.000734375,0.000734375
52,5421.49,1.22103,0.71015,1.24252,0.81155,0.83977,0.86268,0.4836,1.35094,0.69377,1.36665,0.000724062,0.000724062,0.000724062
53,5518.95,1.21953,0.70212,1.23883,0.81572,0.83276,0.8572,0.48209,1.35193,0.67962,1.36038,0.00071375,0.00071375,0.00071375
54,5616.49,1.2089,0.69649,1.22806,0.82764,0.85411,0.87294,0.49518,1.32962,0.6718,1.3419,0.000703437,0.000703437,0.000703437
55,5714.99,1.20505,0.69471,1.2303,0.83897,0.84884,0.87658,0.48979,1.3358,0.66856,1.34793,0.000693125,0.000693125,0.000693125
56,5812.47,1.20276,0.68693,1.22053,0.836,0.84191,0.87141,0.49547,1.33106,0.66414,1.34246,0.000682813,0.000682813,0.000682813
57,5910.14,1.19229,0.67728,1.21934,0.8221,0.84987,0.87298,0.49654,1.32543,0.66424,1.34402,0.0006725,0.0006725,0.0006725
58,6010.33,1.17728,0.67347,1.21259,0.82186,0.85557,0.87259,0.50147,1.32004,0.65842,1.33913,0.000662188,0.000662188,0.000662188
59,6108.76,1.16206,0.66457,1.20201,0.83305,0.858,0.87421,0.50411,1.31669,0.65396,1.33998,0.000651875,0.000651875,0.000651875
60,6207.87,1.1757,0.66024,1.2088,0.82608,0.8472,0.87027,0.50227,1.33256,0.67688,1.34146,0.000641562,0.000641562,0.000641562
61,6304.9,1.14543,0.65718,1.19627,0.84115,0.85781,0.87863,0.51006,1.3047,0.64698,1.32964,0.00063125,0.00063125,0.00063125
62,6404.32,1.1316,0.64634,1.19351,0.84027,0.85143,0.88161,0.50243,1.31246,0.66892,1.34419,0.000620938,0.000620938,0.000620938
63,6502.04,1.13543,0.64381,1.19145,0.81868,0.87144,0.87221,0.50359,1.31771,0.65344,1.33783,0.000610625,0.000610625,0.000610625
64,6601.29,1.12208,0.63429,1.18258,0.83622,0.86687,0.88076,0.51288,1.30103,0.64165,1.32563,0.000600313,0.000600313,0.000600313
65,6699.38,1.12799,0.63472,1.19242,0.85154,0.86324,0.88518,0.52326,1.2905,0.62889,1.32902,0.00059,0.00059,0.00059
66,6798.88,1.10716,0.62579,1.17594,0.85468,0.85595,0.88758,0.5198,1.28872,0.62962,1.33092,0.000579688,0.000579688,0.000579688
67,6998.28,1.10246,0.61923,1.17645,0.84147,0.8516,0.87573,0.51325,1.29229,0.64915,1.32591,0.000569375,0.000569375,0.000569375
68,7176.84,1.09568,0.6169,1.17128,0.84635,0.86542,0.88457,0.5209,1.28745,0.62259,1.32031,0.000559062,0.000559062,0.000559062
