epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.893,1.2962,1.25103,1.4404,0.1608,0.13758,0.04811,0.0172,nan,nan,nan,0.000664225,0.000664225,0.000664225
2,220.484,1.42377,1.22129,1.52995,0.28829,0.52361,0.25519,0.14057,1.60396,6.7935,1.78609,0.00131991,0.00131991,0.00131991
3,310.741,1.34594,1.12428,1.48007,0.70123,0.70021,0.71074,0.43454,1.31982,2.13696,1.53149,0.0019646,0.0019646,0.0019646
4,404.444,1.28205,1.00921,1.42936,0.79211,0.65708,0.73492,0.35575,1.73781,1.37535,1.92371,0.0019505,0.0019505,0.0019505
5,494.836,1.21403,0.93436,1.38205,0.87062,0.74618,0.86338,0.5233,1.28844,1.05821,1.4276,0.001934,0.001934,0.001934
6,581.969,1.16011,0.86487,1.34615,0.92253,0.8193,0.8787,0.60765,1.13058,0.84707,1.35521,0.0019175,0.0019175,0.0019175
7,666.93,1.14213,0.83526,1.33342,0.848,0.82479,0.89117,0.57808,1.17552,0.89147,1.35605,0.001901,0.001901,0.001901
8,753.146,1.11676,0.7916,1.31064,0.90861,0.82136,0.88979,0.57059,1.24121,0.89184,1.40767,0.0018845,0.0018845,0.0018845
9,839.974,1.09874,0.76157,1.29854,0.91111,0.86297,0.93342,0.63235,1.11572,0.7198,1.3293,0.001868,0.001868,0.001868
10,926.351,1.07981,0.75234,1.27792,0.93117,0.86858,0.9298,0.63175,1.09535,0.75505,1.28514,0.0018515,0.0018515,0.0018515
11,1011.86,1.05203,0.72834,1.26906,0.9487,0.91142,0.94167,0.67045,1.0187,0.60469,1.27102,0.001835,0.001835,0.001835
12,1097.86,1.06498,0.71621,1.25545,0.90532,0.87064,0.92436,0.63079,1.06491,0.69872,1.27137,0.0018185,0.0018185,0.0018185
13,1183.64,1.03618,0.69434,1.25377,0.95648,0.89117,0.94735,0.67514,1.03051,0.65544,1.27106,0.001802,0.001802,0.001802
14,1268.74,1.00678,0.66993,1.24231,0.94975,0.89271,0.95091,0.67531,1.04619,0.6266,1.288,0.0017855,0.0017855,0.0017855
15,1353.37,1.02037,0.68102,1.24051,0.94747,0.91786,0.95662,0.69186,1.00221,0.60687,1.23812,0.001769,0.001769,0.001769
16,1438.6,0.99608,0.64983,1.22312,0.96038,0.89598,0.94921,0.66244,1.06407,0.61556,1.2602,0.0017525,0.0017525,0.0017525
17,1523.81,0.9916,0.65398,1.23861,0.96276,0.90258,0.95574,0.69961,0.97049,0.58078,1.1919,0.001736,0.001736,0.001736
18,1610.04,0.99462,0.65641,1.22699,0.96149,0.9229,0.95824,0.70083,0.97588,0.57374,1.2145,0.0017195,0.0017195,0.0017195
19,1695.11,0.98535,0.63953,1.21793,0.95953,0.90554,0.95791,0.69509,0.97791,0.56485,1.19424,0.001703,0.001703,0.001703
20,1781.15,0.96329,0.61251,1.21275,0.96666,0.92197,0.95947,0.6919,0.97496,0.55344,1.21654,0.0016865,0.0016865,0.0016865
21,1867.05,0.9681,0.61901,1.20553,0.9517,0.93057,0.95816,0.71277,0.94471,0.54359,1.19578,0.00167,0.00167,0.00167
22,1952.96,0.96899,0.61558,1.20587,0.96111,0.91581,0.96339,0.71185,0.95541,0.52249,1.19805,0.0016535,0.0016535,0.0016535
23,2037.61,0.95831,0.59994,1.20466,0.94816,0.91992,0.95759,0.70847,0.96297,0.5489,1.19844,0.001637,0.001637,0.001637
24,2122.74,0.94982,0.60051,1.20438,0.97797,0.91151,0.96523,0.69185,1.00289,0.56562,1.21675,0.0016205,0.0016205,0.0016205
25,2208.93,0.93873,0.59213,1.19036,0.93807,0.93224,0.95974,0.69347,0.97863,0.52536,1.22344,0.001604,0.001604,0.001604
26,2293.91,0.93202,0.59488,1.19038,0.94094,0.93429,0.95828,0.71068,0.94669,0.51844,1.20763,0.0015875,0.0015875,0.0015875
27,2378.48,0.92974,0.58474,1.19005,0.94629,0.9407,0.96268,0.70847,0.97054,0.54854,1.21768,0.001571,0.001571,0.001571
28,2464.21,0.91743,0.57216,1.18239,0.98453,0.91476,0.97086,0.73942,0.89638,0.4968,1.14851,0.0015545,0.0015545,0.0015545
29,2549.95,0.91125,0.57371,1.16588,0.96969,0.92608,0.96781,0.7223,0.91862,0.51563,1.17089,0.001538,0.001538,0.001538
30,2636.07,0.91292,0.57,1.17877,0.96497,0.93018,0.96365,0.71659,0.91021,0.49507,1.17817,0.0015215,0.0015215,0.0015215
31,2721.61,0.89995,0.55834,1.17485,0.96312,0.93224,0.96693,0.72276,0.90939,0.52253,1.17681,0.001505,0.001505,0.001505
32,2806.73,0.90004,0.55892,1.17219,0.96736,0.93429,0.97102,0.74833,0.87191,0.47765,1.1417,0.0014885,0.0014885,0.0014885
33,2891.92,0.90342,0.55481,1.16729,0.95499,0.93634,0.96876,0.73594,0.89565,0.49098,1.17584,0.001472,0.001472,0.001472
34,2977.27,0.88669,0.54687,1.15996,0.96107,0.94251,0.97089,0.73792,0.88412,0.47555,1.15965,0.0014555,0.0014555,0.0014555
35,3062.59,0.89832,0.54364,1.16254,0.95993,0.93634,0.97134,0.74532,0.86479,0.46269,1.1363,0.001439,0.001439,0.001439
36,3147.63,0.88467,0.54041,1.15308,0.96571,0.92521,0.96974,0.75536,0.84876,0.46716,1.13078,0.0014225,0.0014225,0.0014225
37,3233.63,0.88482,0.53724,1.16109,0.9765,0.93018,0.97143,0.74224,0.87458,0.46216,1.14492,0.001406,0.001406,0.001406
38,3320.37,0.87754,0.53513,1.16189,0.95763,0.92812,0.9711,0.74102,0.89591,0.47537,1.154,0.0013895,0.0013895,0.0013895
39,3407.24,0.86468,0.52576,1.14117,0.95911,0.93634,0.9779,0.74299,0.87336,0.44966,1.15302,0.001373,0.001373,0.001373
40,3493.39,0.87115,0.53044,1.15567,0.96406,0.93625,0.97362,0.74584,0.86271,0.45239,1.13785,0.0013565,0.0013565,0.0013565
41,3579.09,0.85752,0.52217,1.14633,0.95783,0.93272,0.97341,0.75108,0.86038,0.46817,1.13611,0.00134,0.00134,0.00134
42,3664.37,0.86523,0.51951,1.15522,0.97154,0.91111,0.96871,0.74127,0.85144,0.49487,1.12902,0.0013235,0.0013235,0.0013235
43,3749.71,0.86829,0.52768,1.15412,0.96418,0.93972,0.97227,0.74097,0.85157,0.4597,1.13508,0.001307,0.001307,0.001307
44,3835.49,0.86003,0.51577,1.14033,0.96234,0.9384,0.9713,0.74877,0.83591,0.45806,1.13314,0.0012905,0.0012905,0.0012905
45,3923.11,0.85484,0.52245,1.14805,0.97072,0.9384,0.97672,0.75405,0.86043,0.45206,1.13396,0.001274,0.001274,0.001274
46,4009.43,0.84042,0.50662,1.13903,0.97024,0.9384,0.97305,0.76163,0.82975,0.4337,1.1245,0.0012575,0.0012575,0.0012575
47,4095.62,0.83804,0.50329,1.13685,0.9713,0.93018,0.97888,0.76874,0.80824,0.43189,1.10485,0.001241,0.001241,0.001241
48,4182.47,0.84343,0.49479,1.13986,0.95513,0.93634,0.97086,0.76257,0.82358,0.44473,1.11345,0.0012245,0.0012245,0.0012245
49,4269.23,0.81863,0.4998,1.12509,0.97387,0.94045,0.98055,0.76289,0.82638,0.44182,1.10536,0.001208,0.001208,0.001208
50,4356.26,0.83952,0.50037,1.13437,0.97004,0.93066,0.97342,0.7621,0.8229,0.43606,1.09751,0.0011915,0.0011915,0.0011915
51,4441.89,0.82279,0.49066,1.12603,0.97779,0.93224,0.97505,0.76253,0.81887,0.42789,1.11052,0.001175,0.001175,0.001175
52,4527.11,0.81501,0.48826,1.11847,0.96247,0.94793,0.97607,0.76672,0.82283,0.43787,1.10277,0.0011585,0.0011585,0.0011585
53,4611.81,0.80992,0.48755,1.11781,0.9603,0.94364,0.98343,0.76569,0.81797,0.41878,1.10294,0.001142,0.001142,0.001142
54,4696.75,0.80632,0.47829,1.11966,0.96872,0.93429,0.97519,0.76581,0.79674,0.42586,1.10806,0.0011255,0.0011255,0.0011255
55,4782.03,0.80755,0.48058,1.11679,0.97021,0.93637,0.97562,0.76371,0.81068,0.42383,1.10642,0.001109,0.001109,0.001109
56,4867.27,0.81372,0.4768,1.11757,0.97227,0.93597,0.97927,0.76407,0.81853,0.42844,1.1219,0.0010925,0.0010925,0.0010925
57,4952.57,0.79885,0.47097,1.10717,0.98065,0.92813,0.9779,0.77268,0.80332,0.41172,1.10306,0.001076,0.001076,0.001076
58,5037.71,0.81359,0.47955,1.1239,0.96513,0.94456,0.9806,0.77191,0.80208,0.41158,1.10381,0.0010595,0.0010595,0.0010595
59,5123.09,0.80547,0.46888,1.10373,0.97186,0.93429,0.97491,0.76471,0.79969,0.42003,1.10216,0.001043,0.001043,0.001043
60,5208.52,0.7925,0.46711,1.11636,0.9641,0.93744,0.97888,0.775,0.79403,0.40809,1.10099,0.0010265,0.0010265,0.0010265
61,5293.23,0.79277,0.47328,1.11411,0.97602,0.93018,0.97462,0.76217,0.81004,0.42332,1.11138,0.00101,0.00101,0.00101
62,5378.12,0.78911,0.46785,1.10418,0.97036,0.93429,0.97571,0.76688,0.79869,0.42648,1.10388,0.0009935,0.0009935,0.0009935
63,5463.79,0.77623,0.46669,1.09773,0.98179,0.93224,0.97903,0.77374,0.78452,0.39695,1.09601,0.000977,0.000977,0.000977
64,5549.2,0.77959,0.44994,1.10493,0.97868,0.93634,0.97458,0.78281,0.78145,0.40934,1.0994,0.0009605,0.0009605,0.0009605
