epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.605,1.48696,1.23756,0.86069,0.79882,0.55935,0.65496,0.36575,1.44337,0.88965,0.87107,0.00036943,0.00036943,0.00036943
2,465.088,1.47551,0.7947,0.86529,0.74737,0.70105,0.76705,0.4237,1.40368,0.89202,0.87162,0.000727557,0.000727557,0.000727557
3,686.355,1.46718,0.76576,0.86137,0.57032,0.78828,0.77665,0.42068,1.42053,0.91731,0.85942,0.00107346,0.00107346,0.00107346
4,910.45,1.42232,0.74422,0.85248,0.91084,0.75017,0.85907,0.47168,1.34592,0.74292,0.84803,0.00105601,0.00105601,0.00105601
5,1132.2,1.42098,0.71246,0.85533,0.87842,0.84941,0.89216,0.51891,1.28036,0.65142,0.84061,0.00103767,0.00103767,0.00103767
6,1354.16,1.38059,0.69432,0.85089,0.86118,0.8082,0.87179,0.47769,1.3013,0.66687,0.84247,0.00101934,0.00101934,0.00101934
7,1576.45,1.36239,0.66908,0.84749,0.91703,0.80353,0.86785,0.49558,1.33541,0.65336,0.8455,0.00100101,0.00100101,0.00100101
8,1794.91,1.34988,0.64936,0.84181,0.88212,0.85309,0.91415,0.52986,1.25383,0.61414,0.83597,0.000982679,0.000982679,0.000982679
9,2018.97,1.34142,0.63789,0.83962,0.88846,0.85786,0.90278,0.51652,1.28734,0.6367,0.83366,0.000964348,0.000964348,0.000964348
10,2241.37,1.30611,0.62417,0.83474,0.87962,0.81958,0.87598,0.52382,1.24778,0.622,0.83581,0.000946016,0.000946016,0.000946016
11,2459.87,1.30359,0.6281,0.83417,0.85114,0.85039,0.88781,0.52221,1.21798,0.61714,0.828,0.000927685,0.000927685,0.000927685
12,2681.38,1.30049,0.61419,0.83518,0.88098,0.87782,0.90706,0.54377,1.20883,0.5826,0.82488,0.000909353,0.000909353,0.000909353
13,2902.26,1.2908,0.60552,0.83344,0.91667,0.89799,0.92853,0.56347,1.2178,0.57897,0.82983,0.000891022,0.000891022,0.000891022
14,3126.68,1.26759,0.59888,0.83497,0.88037,0.83799,0.90262,0.53875,1.2312,0.60229,0.82934,0.000872691,0.000872691,0.000872691
