epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.797,2.18872,2.79692,2.33327,0.00302,0.37108,0.00185,0.0004,2.97706,87.187,3.60115,0.00066459,0.00066459,0.00066459
2,217.106,2.22968,2.90519,2.43408,0.11724,0.25784,0.08413,0.02279,2.70653,3.48104,2.88152,0.00132027,0.00132027,0.00132027
3,317.582,2.11245,2.77145,2.33746,0.239,0.28049,0.17658,0.0568,2.22137,2.87684,2.51488,0.00196496,0.00196496,0.00196496
4,417.894,2.0821,2.67517,2.29431,0.2377,0.31359,0.16843,0.05783,2.19569,2.81192,2.4152,0.0019505,0.0019505,0.0019505
5,539.068,1.99725,2.53042,2.21959,0.35316,0.36585,0.30163,0.09802,2.19382,2.43048,2.39276,0.001934,0.001934,0.001934
6,639.713,1.97225,2.46274,2.18679,0.18747,0.30662,0.12036,0.04153,2.17849,5.33379,2.37227,0.0019175,0.0019175,0.0019175
7,739.035,1.9252,2.41242,2.15494,0.43809,0.47674,0.39334,0.15605,2.00529,2.56118,2.23503,0.001901,0.001901,0.001901
8,838.627,1.88553,2.3146,2.10359,0.50551,0.49652,0.47711,0.1848,1.95649,1.99505,2.20422,0.0018845,0.0018845,0.0018845
9,938.666,1.86719,2.27771,2.09833,0.39777,0.39547,0.35116,0.12266,2.04566,2.1867,2.2391,0.001868,0.001868,0.001868
10,1038.88,1.85172,2.18755,2.07181,0.53942,0.48606,0.48908,0.1976,1.92879,1.96942,2.17558,0.0018515,0.0018515,0.0018515
11,1139.72,1.82492,2.14851,2.0217,0.53518,0.4878,0.50293,0.21113,1.87066,1.89959,2.09543,0.001835,0.001835,0.001835
12,1240.17,1.81749,2.11762,2.0202,0.52639,0.51118,0.51116,0.21321,1.88401,1.92708,2.13113,0.0018185,0.0018185,0.0018185
13,1340.77,1.77973,2.07235,1.99548,0.53595,0.56138,0.53633,0.24243,1.87213,1.75539,2.07507,0.001802,0.001802,0.001802
14,1441.75,1.78391,2.06875,2.00641,0.59299,0.51916,0.54983,0.24379,1.86477,1.82177,2.07074,0.0017855,0.0017855,0.0017855
15,1542.76,1.77052,2.01484,1.97336,0.60588,0.53298,0.5654,0.25567,1.83344,1.78462,2.06235,0.001769,0.001769,0.001769
16,1643.79,1.74181,1.97882,1.95577,0.6039,0.52265,0.56235,0.25164,1.8611,1.71508,2.01927,0.0017525,0.0017525,0.0017525
17,1744.25,1.75314,1.98578,1.9405,0.58955,0.60105,0.61373,0.28417,1.82928,1.65966,1.99679,0.001736,0.001736,0.001736
18,1845.09,1.74175,1.95599,1.94976,0.58077,0.58406,0.60138,0.26957,1.81203,1.63533,2.04524,0.0017195,0.0017195,0.0017195
19,1945.73,1.73878,1.92452,1.94864,0.59196,0.5784,0.62337,0.29031,1.7333,1.67768,2.05307,0.001703,0.001703,0.001703
20,2047.21,1.71445,1.88645,1.92811,0.7185,0.60627,0.69457,0.32018,1.78743,1.51435,1.98913,0.0016865,0.0016865,0.0016865
21,2148.83,1.71456,1.84983,1.91031,0.71031,0.59408,0.67438,0.32156,1.7684,1.54491,1.99826,0.00167,0.00167,0.00167
22,2251.47,1.69558,1.80658,1.88848,0.67631,0.62021,0.68052,0.32448,1.72436,1.54794,1.93727,0.0016535,0.0016535,0.0016535
23,2352.85,1.68366,1.80738,1.88017,0.75199,0.63066,0.70935,0.33387,1.75434,1.44696,1.99144,0.001637,0.001637,0.001637
24,2453.97,1.68173,1.76632,1.87227,0.71402,0.62195,0.70705,0.34448,1.71359,1.50444,1.94546,0.0016205,0.0016205,0.0016205
25,2553.48,1.66541,1.7343,1.86309,0.72468,0.58014,0.68844,0.33111,1.75121,1.50495,1.99467,0.001604,0.001604,0.001604
26,2653.58,1.65993,1.72774,1.85803,0.70539,0.63066,0.69751,0.33294,1.7408,1.47373,1.95393,0.0015875,0.0015875,0.0015875
27,2753.09,1.66989,1.72754,1.86918,0.73154,0.67073,0.73314,0.36983,1.6737,1.38928,1.87754,0.001571,0.001571,0.001571
28,2853.35,1.65428,1.71537,1.84636,0.68775,0.63313,0.68875,0.34627,1.70432,1.44021,1.92798,0.0015545,0.0015545,0.0015545
29,2953.81,1.64123,1.66335,1.83085,0.77466,0.67073,0.74542,0.36562,1.69229,1.33769,1.88093,0.001538,0.001538,0.001538
30,3054.11,1.63203,1.65247,1.81956,0.75923,0.68118,0.74266,0.37841,1.69616,1.34569,1.89788,0.0015215,0.0015215,0.0015215
31,3154.96,1.62955,1.64612,1.82682,0.77608,0.69338,0.77021,0.38736,1.63678,1.30984,1.86922,0.001505,0.001505,0.001505
32,3254.97,1.62091,1.62852,1.81757,0.75692,0.68895,0.76854,0.38139,1.65558,1.32788,1.86259,0.0014885,0.0014885,0.0014885
33,3355.32,1.62648,1.59619,1.80913,0.7604,0.67944,0.75603,0.38355,1.65699,1.30034,1.86925,0.001472,0.001472,0.001472
34,3455.69,1.62177,1.58403,1.79511,0.80321,0.66551,0.77325,0.38839,1.66541,1.29805,1.86289,0.0014555,0.0014555,0.0014555
35,3556.2,1.59449,1.56558,1.79094,0.79566,0.68517,0.78786,0.41049,1.64352,1.26044,1.87229,0.001439,0.001439,0.001439
36,3657.47,1.5861,1.5329,1.78297,0.78317,0.72362,0.79995,0.41105,1.61864,1.22303,1.84581,0.0014225,0.0014225,0.0014225
37,3757.73,1.57129,1.49018,1.76007,0.79352,0.75784,0.81716,0.42041,1.6267,1.1707,1.8251,0.001406,0.001406,0.001406
38,3858.03,1.5741,1.50037,1.75769,0.78082,0.71254,0.79939,0.40566,1.60758,1.19527,1.79323,0.0013895,0.0013895,0.0013895
39,3958.1,1.57364,1.51013,1.75587,0.83368,0.70732,0.82148,0.40961,1.61083,1.19072,1.79959,0.001373,0.001373,0.001373
40,4058.35,1.55213,1.45337,1.73977,0.79625,0.75784,0.81552,0.43145,1.63866,1.16163,1.82296,0.0013565,0.0013565,0.0013565
41,4158.59,1.55925,1.45914,1.74956,0.82407,0.71254,0.8133,0.42675,1.62721,1.12597,1.80484,0.00134,0.00134,0.00134
42,4259.18,1.54381,1.42461,1.73323,0.84969,0.74042,0.83946,0.43567,1.62455,1.12849,1.82067,0.0013235,0.0013235,0.0013235
43,4360,1.5401,1.38679,1.72505,0.81439,0.76655,0.83961,0.43944,1.62464,1.08526,1.82212,0.001307,0.001307,0.001307
44,4460.6,1.53249,1.39844,1.71628,0.86187,0.75436,0.84952,0.44202,1.60252,1.09514,1.78477,0.0012905,0.0012905,0.0012905
45,4560.46,1.52162,1.36851,1.70452,0.86553,0.74913,0.84886,0.44259,1.61207,1.07585,1.79675,0.001274,0.001274,0.001274
46,4660.78,1.51778,1.35389,1.69634,0.83414,0.76829,0.84776,0.45145,1.58987,1.08988,1.78366,0.0012575,0.0012575,0.0012575
47,4761.18,1.50996,1.35681,1.69014,0.8465,0.77821,0.85741,0.46172,1.55507,1.02156,1.73811,0.001241,0.001241,0.001241
48,4860.98,1.49638,1.33465,1.67763,0.83467,0.78571,0.86875,0.45771,1.58572,1.00235,1.75491,0.0012245,0.0012245,0.0012245
49,4961.07,1.49027,1.31252,1.67826,0.87798,0.75087,0.85664,0.45837,1.56694,1.02737,1.74574,0.001208,0.001208,0.001208
