epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.781,1.22443,1.78706,1.36217,0.47902,0.42451,0.40286,0.26672,1.36551,1.77747,1.39566,0.00332211,0.00332211,0.070101
2,429.221,1.32004,1.71769,1.38816,0.41138,0.36105,0.31923,0.19235,1.59225,2.30475,1.60829,0.00661152,0.00661152,0.0400571
3,866.137,1.56875,2.111,1.55915,0.29371,0.14223,0.11636,0.05649,2.23831,3.49775,2.39329,0.00985692,0.00985692,0.00996916
4,1228.15,1.8454,2.49165,1.80949,0.21908,0.15317,0.09146,0.04383,2.31258,4.52566,2.27658,0.009802,0.009802,0.009802
5,1394.04,1.84223,2.43951,1.79598,0.27818,0.19694,0.12711,0.0712,2.01611,4.04546,2.0516,0.009736,0.009736,0.009736
6,1658.51,1.80085,2.39822,1.75979,0.21561,0.20788,0.13346,0.07376,2.03532,3.34471,2.05081,0.00967,0.00967,0.00967
7,1895.4,1.76494,2.33454,1.74217,0.26805,0.21882,0.16059,0.08718,1.88478,2.68864,1.8754,0.009604,0.009604,0.009604
8,2099.38,1.70315,2.23271,1.68426,0.40272,0.25383,0.23722,0.14261,1.83318,2.32917,1.79626,0.009538,0.009538,0.009538
9,2363.76,1.67034,2.15439,1.66773,0.46361,0.29759,0.28028,0.16807,1.76801,2.17234,1.78949,0.009472,0.009472,0.009472
10,2551.71,1.63311,2.09065,1.65119,0.42269,0.28009,0.27317,0.15325,1.76036,2.79388,1.7491,0.009406,0.009406,0.009406
11,2726.45,1.62603,2.03828,1.63259,0.43531,0.28665,0.28464,0.16314,1.80269,2.30856,1.79623,0.00934,0.00934,0.00934
12,2914.39,1.63527,2.10861,1.63764,0.4556,0.30416,0.30202,0.17098,1.77761,2.16356,1.74723,0.009274,0.009274,0.009274
13,3216.66,1.58589,1.98695,1.58951,0.44257,0.3326,0.28887,0.16714,1.71592,2.22629,1.71696,0.009208,0.009208,0.009208
14,3408.75,1.57129,1.94848,1.58024,0.49161,0.34573,0.35967,0.20008,1.71371,1.96325,1.70953,0.009142,0.009142,0.009142
15,3587.64,1.50672,1.86645,1.53666,0.53723,0.35011,0.36293,0.21189,1.64146,1.93074,1.65373,0.009076,0.009076,0.009076
16,3772.28,1.52653,1.87887,1.54685,0.54833,0.31291,0.34171,0.20643,1.65553,1.96905,1.67692,0.00901,0.00901,0.00901
17,4034.34,1.49957,1.83413,1.52865,0.56096,0.35449,0.37746,0.22412,1.62275,1.89058,1.64477,0.008944,0.008944,0.008944
18,4236.99,1.47902,1.77934,1.50019,0.50222,0.3731,0.3671,0.22365,1.60693,1.87665,1.60756,0.008878,0.008878,0.008878
19,4473.57,1.47927,1.76278,1.51103,0.60475,0.35667,0.39374,0.23582,1.59082,1.86665,1.6116,0.008812,0.008812,0.008812
20,4659.74,1.45158,1.70246,1.47637,0.55179,0.39606,0.4096,0.25722,1.57541,1.84503,1.59981,0.008746,0.008746,0.008746
21,4940.79,1.43593,1.6974,1.47419,0.52942,0.38293,0.37974,0.22999,1.56125,1.83774,1.57859,0.00868,0.00868,0.00868
22,5086.22,1.41059,1.63484,1.45811,0.60139,0.39606,0.42108,0.27571,1.48995,1.72224,1.56139,0.008614,0.008614,0.008614
23,5324.5,1.40726,1.61183,1.46403,0.54077,0.38731,0.40423,0.24547,1.54887,1.78162,1.52725,0.008548,0.008548,0.008548
24,5512.49,1.3999,1.60487,1.43202,0.54927,0.43731,0.4427,0.26435,1.52097,1.68471,1.56421,0.008482,0.008482,0.008482
25,5836.06,1.3835,1.60948,1.44895,0.58729,0.36324,0.40311,0.24797,1.48301,1.75717,1.54961,0.008416,0.008416,0.008416
26,5947.21,1.36269,1.56983,1.43329,0.51209,0.41575,0.42207,0.26601,1.47783,1.75178,1.538,0.00835,0.00835,0.00835
27,6267.69,1.35768,1.55759,1.41662,0.62168,0.39606,0.43902,0.27304,1.50309,1.70701,1.54229,0.008284,0.008284,0.008284
28,6405.15,1.3356,1.50713,1.41075,0.66052,0.38512,0.4574,0.29012,1.45151,1.62558,1.50625,0.008218,0.008218,0.008218
29,6585.64,1.32935,1.49876,1.40018,0.61714,0.42888,0.46404,0.29701,1.40766,1.6492,1.49646,0.008152,0.008152,0.008152
30,6772.41,1.32115,1.47953,1.3787,0.61765,0.41575,0.45152,0.26695,1.48175,1.69302,1.5278,0.008086,0.008086,0.008086
31,6952.2,1.30729,1.45563,1.38643,0.54892,0.44858,0.45688,0.2946,1.42505,1.66699,1.48526,0.00802,0.00802,0.00802
32,7104.83,1.29522,1.45461,1.37903,0.53051,0.44858,0.45491,0.28889,1.43256,1.63803,1.49882,0.007954,0.007954,0.007954
33,7352.58,1.26591,1.40285,1.37031,0.60442,0.45804,0.48735,0.30953,1.42683,1.57806,1.48129,0.007888,0.007888,0.007888
34,7498.43,1.24834,1.34976,1.36141,0.61344,0.44201,0.4886,0.31029,1.41757,1.53102,1.48448,0.007822,0.007822,0.007822
35,7713.21,1.24357,1.35512,1.34952,0.57779,0.45514,0.47546,0.30093,1.36091,1.6014,1.44264,0.007756,0.007756,0.007756
36,7863.14,1.24773,1.36984,1.35012,0.70785,0.41884,0.49375,0.31071,1.43494,1.566,1.48753,0.00769,0.00769,0.00769
